name,bsn_number,medicine,marital_status,education,work,annual_salary,favorite_car,favorite_color,favorite_food,age
Gemma George,16400407 -9929,Diovan,Married-AF-spouse,HS-grad,Magna Cras Convallis Associates,46630,Tata Motors,red,cereals,54
Nola Noble,16360415 -9206,Potassium Chloride,Married-spouse-absent,Some-college,Luctus Lobortis Consulting,46945,Skoda,blue,seafood,31
Kiara Cooke,16410101 -9257,Alprazolam,Never-married,Assoc-acdm,Enim Nec Tempus Foundation,43569,Renault,yellow,sandwiches,48
Nola Oneal,16920423 -0131,Lorazepam,Separated ,9th,Consectetuer Foundation,64943,Dacia,indigo,pies,41
Dominique Pearson,16081224 -8078,Allopurinol,Never-married,10th,Tristique Limited,37583,Citroën,red,sandwiches,64
Sydnee Mueller,16280503 -1214,Levothyroxine Sodium, Widowed,Assoc-acdm,Duis Ltd,26306,Daimler,green,salads,21
Samantha Ortiz,16960922 -0372,Doxycycline Hyclate,Married-spouse-absent,10th,Mi Lacinia Ltd,40811,Audi,red,noodles,31
Kiayada Grant,16050120 -2154,Alprazolam,Married-AF-spouse,5th-6th,Et Magnis Company,31562,Mahindra and Mahindra,orange,soups,49
Ramona Golden,16340312 -2272,Hydrochlorothiazide,Married-civ-spouse,Assoc-acdm,Arcu Iaculis Company,100203,Dodge,green,stews,52
Zorita James,16590402 -0566,Niaspan,Divorced,9th,Turpis LLC,110388,Fiat,orange,salads,59
Jada Cochran,16130516 -8922,Amoxicillin Trihydrate/Potassium Clavulanate,Divorced,Prof-school,Laoreet Lectus Quis Limited,95049,Chevrolet,indigo,desserts,50
Karleigh Estrada,16890907 -0545,Simvastatin,Married-civ-spouse,Preschool,Suscipit Nonummy Fusce Foundation,27807,Dodge,green,pies,63
Lunea Bryant,16860601 -0406,Seroquel,Divorced,Bachelors,Aliquet Nec PC,41753,Citroën,red,sandwiches,68
Cherokee Diaz,16330811 -6452,Citalopram HBR,Married-AF-spouse,10th,Est Ac Mattis Corporation,59945,Suzuki,green,noodles,45
Casey Carpenter,16101102 -7586,Benicar HCT,Married-spouse-absent,Masters,Pellentesque Habitant Morbi Corp.,36528,Subaru,orange,soups,77
Raven Warren,16240611 -4732,Lantus,Separated ,11th,Mauris Rhoncus Id PC,90792,Cadillac,red,noodles,42
Orli Robertson,16870630 -0384,Levothyroxine Sodium,Married-civ-spouse,HS-grad,Consectetuer Adipiscing Elit Ltd,91139,Volkswagen,blue,cereals,70
Uma Velasquez,16710317 -1844,Diovan,Separated ,10th,Enim Limited,67653,Renault,yellow,sandwiches,45
Imelda Reeves,16421126 -4389,Furosemide,Married-spouse-absent,Assoc-acdm,Mauris Limited,83598,Suzuki,red,noodles,80
Whilemina Gross,16630713 -9094,Suboxone,Separated ,9th,Mollis Phasellus Corporation,54047,Mitsubishi Motors,yellow,desserts,63
Stacy Thompson,16251218 -7879,Lisinopril, Widowed,9th,Praesent Luctus Curabitur Inc.,96167,Acura,red,sandwiches,57
Morgan Hayden,16450810 -9313,Sertraline HCl,Never-married,Preschool,Ac Tellus Corp.,104552,Porsche,violet,salads,68
