studentnumber,firstname,lastname,dateofbirth,studyprogram
0773226,Junette,Gur_ry,1995-12-05,
0983960,Leoline,MacCaughen,1993-02-12,TINF
0875514,Derrik,Garnson,2007-06-23,CMD
0807295,Christy,Rodwell,1997-09-05,CMD
0844343,Frannie,555,1997-05-08,TINF
0798488,Darbie,Habbijam,1997-10-11,AI
0973065,Glory,McLernon,2007-07-20,AI
0803417,Selie,Gunter,1974-01-05,DS
0963866,Wyatan,Lidgey,1987-08-23,DS
0946101,Rubie,De Lorenzo,1972-01-20,CMD
0834576,Bendite,Jeenes,1974-12-10,DS
0982484,Terra,Eckert,1977-11-22,TINF
0755219,Jacky,Driuzzi,1980-07-27,CMD
0970338,Nariko,Blackley,2006-07-14,DS
0869610,,,,CMD
0793967,Madeline,Kirdsch,1955-04-03,CMD
0896801,Kari,Wilmore,1970-06-18,INF
0847726,Bernard,Castree,1959-01-06,TINF
0886791,Nicol,Malenoir,1972-02-13,TINF
0988898,Clayborne,Caudle,1974-06-14,AI
0964442,Gert,Weedon,1976-02-13,DS
0988907,Ursula,Keady,1964-12-29,CMD
0836142,Cacilie,Marunchak,1991-10-20,TINF
0919519,Felicity,D'Alesco,1983-07-30,AI
0829076,Phillis,McCrie,1994-03-10,CMD
0993144,Hammad,Callard,1981-01-06,AI
0852060,Susanne,Lefort,1988-12-19,TINF
0980369,Mallissa,Fumagall,1963-06-02,AI
0962028,Melisande,Dixson,1973-02-18,INF
0909804,Rafaelita,Harradence,1978-10-11,AI
0873325,Anette,Penelli,1990-04-14,CMD
0783022,Alica,Shovelbottom,1960-01-18,AI
0947730,Katherina,Weatherley,1969-08-11,INF
0849553,Lizzie,12345,1987-06-05,CMD
0840622,Maddi,Toten,1992-04-28,CMD
0895179,Barton,Alders,2004-09-03,CMD
0908886,Shannen,Ballendine,1955-11-03,INF
0842685,Camellia,Lorant,2004-12-02,INF
0816574,Kin,Morcomb,1957-03-21,TINF
0887611,Renelle,Wooland,2006-03-11,TINF
0924538,Jessey,Janse,2008-05-26,INF
0948980,Mose,Yearns,2010-10-29,CMD
